molecule ID,concentration
CPD0-1889[i],0.0
PRPP[n],0.0
PRPP[j],0.0
PRPP[w],0.0
PRPP[c],0.0
PRPP[e],0.0
PRPP[m],0.0
PRPP[o],0.0
PRPP[p],0.0
PRPP[l],0.0
PRPP[i],0.0
CPD0-1884[n],0.0
CPD0-1884[j],0.0
CPD0-1884[w],0.0
CPD0-1884[c],0.0
CPD0-1884[e],0.0
CPD0-1884[m],0.0
CPD0-1884[o],0.0
CPD0-1884[p],0.0
CPD0-1884[l],0.0
CPD0-1884[i],0.0
CPD0-1885[n],0.0
CPD0-1885[j],0.0
CPD0-1885[w],0.0
CPD0-1885[c],0.0
CPD0-1885[e],0.0
CPD0-1885[m],0.0
CPD0-1885[o],0.0
CPD0-1885[p],0.0
CPD0-1885[l],0.0
CPD0-1885[i],0.0
CPD-11444[n],0.0
CPD-11444[j],0.0
CPD-11444[w],0.0
CPD-11444[c],0.0
CPD-11444[e],0.0
CPD-11444[m],0.0
CPD-11444[o],0.0
CPD-11444[p],0.0
CPD-11444[l],0.0
CPD-11444[i],0.0
MAL[n],0.0
MAL[j],0.0
MAL[w],0.0
MAL[c],1023399.8733092117
MAL[e],0.0
MAL[m],0.0
MAL[o],0.0
MAL[p],0.0
MAL[l],0.0
MAL[i],0.0
CPD0-1882[n],0.0
CPD0-1882[j],0.0
CPD0-1882[w],0.0
CPD0-1882[c],0.0
CPD0-1882[e],0.0
CPD0-1882[m],0.0
CPD0-1882[o],0.0
CPD0-1882[p],0.0
CPD0-1882[l],0.0
CPD0-1882[i],0.0
CPD0-1883[n],0.0
CPD0-1883[j],0.0
CPD0-1883[w],0.0
CPD0-1883[c],0.0
CPD0-1883[e],0.0
CPD0-1883[m],0.0
CPD0-1883[o],0.0
CPD0-1883[p],0.0
CPD0-1883[l],0.0
CPD0-1883[i],0.0
CPD-9646[n],0.0
CPD-9646[j],0.0
CPD-9646[w],0.0
CPD-9646[c],0.0
CPD-9646[e],0.0
CPD-9646[m],0.0
CPD-9646[o],0.0
CPD-9646[p],0.0
CPD-9646[l],0.0
CPD-9646[i],0.0
CPD-10330[n],0.0
CPD-10330[j],0.0
CPD-10330[w],0.0
CPD-10330[c],0.0
CPD-10330[e],0.0
CPD-10330[m],0.0
CPD-10330[o],0.0
CPD-10330[p],0.0
CPD-10330[l],0.0
CPD-10330[i],0.0
OROTIDINE-5-PHOSPHATE[n],0.0
OROTIDINE-5-PHOSPHATE[j],0.0
OROTIDINE-5-PHOSPHATE[w],0.0
OROTIDINE-5-PHOSPHATE[c],0.0
OROTIDINE-5-PHOSPHATE[e],0.0
OROTIDINE-5-PHOSPHATE[m],0.0
